ID,IncomeGroup,Region,Country Name,latitude,longitude,Country Code,Mig_1962,Mig_1967,Mig_1972,Mig_1977,Mig_1982,Mig_1987,Mig_1992,Mig_1997,Mig_2002,Mig_2007,Mig_2012,Mig_2017
1,High income,Latin America & Caribbean,Aruba,12.52111,-69.968338,ABW,0,0,0,0,0,0,14218,6926,6263,0,1253,1004
2,Low income,South Asia,Afghanistan,33.93911,67.709953,AFG,0,0,0,0,0,0,3076383,0,744193,0,521769,0
3,Lower middle income,Sub-Saharan Africa,Angola,-11.202692,17.873887,AGO,0,0,199800,199800,234148,188491,142812,199800,261100,357301,166267,32066
4,Upper middle income,Europe & Central Asia,Albania,41.153332,20.168331,ALB,0,0,0,0,0,0,0,0,0,0,0,0
7,High income,Middle East & North Africa,United Arab Emirates,23.424076,53.847818,ARE,37882,53823,260488,372430,184159,256638,368126,498394,1189616,3592436,270000,200000
8,Upper middle income,Latin America & Caribbean,Argentina,-38.416097,-63.616672,ARG,122000,130000,142000,0,140000,160000,0,0,0,0,30000,24000
9,Upper middle income,Europe & Central Asia,Armenia,40.069099,45.038189,ARM,70335,103399,86404,17214,0,0,0,0,0,0,0,0
11,High income,Latin America & Caribbean,Antigua and Barbuda,17.060816,-61.796428,ATG,0,0,0,0,0,0,2231,2469,252,1887,943,0
12,High income,East Asia & Pacific,Australia,-25.274398,133.775136,AUS,384343,806193,259531,235744,453572,654209,351078,388419,589282,1210802,989375,791229
13,High income,Europe & Central Asia,Austria,47.516231,14.550072,AUT,15996,50401,82001,5502,18002,110999,227841,65082,178117,153763,267172,324998
14,Upper middle income,Europe & Central Asia,Azerbaijan,40.143105,47.576927,AZE,0,0,0,0,0,0,0,0,36523,53579,8499,6002
15,Low income,Sub-Saharan Africa,Burundi,-3.373056,29.918886,BDI,0,0,0,0,0,0,0,0,0,30004,0,10003
